Month,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
2023-01-01,9322.565025545277,10763.201410794562,8379.885930673914,9258.455622737534,9450.947928904894,10437.67790493603,10060.643646554981,9985.189491206089,9328.222526255378,9639.947622816606
2023-02-01,9737.938267790254,11701.398723608605,11241.961028540105,10991.843108829375,10222.822881675456,10700.643686187366,10281.504075657589,10915.543547173864,10560.931888342066,11581.508976996418
2023-03-01,11287.917690528093,11792.099443216657,11363.35175346038,9207.389538404417,10847.37129473223,11319.571857443181,12205.97793973428,12243.919931440123,10102.988763219895,11022.111374624634
2023-04-01,12584.751130536668,12967.746821522547,12867.541821286104,11259.416674290198,11975.964764461964,12603.817097858715,11528.82098453285,11631.15616177809,11660.287992049958,12052.554474219804
2023-05-01,11816.404647485873,11426.054667298877,11258.764334528929,11598.348889345149,11540.803869659696,12154.049899215383,10765.48439556607,12401.222294562589,11194.799213424783,11972.444223500228
2023-06-01,9953.225024569354,10990.83083717196,11001.008423551044,10041.236848106935,10102.208521025734,11513.205516934991,10566.124771544884,12372.661588712035,11160.761033878249,11494.780098365418
2023-07-01,10138.544740680945,9611.709161736717,10403.989823184365,11305.929043145308,10527.120115968164,11044.383045723464,10330.3451634205,9912.991881234513,10273.404780621728,10569.291902471112
2023-08-01,9358.437856244125,8885.213588945091,9599.806578611535,7816.4235039526775,8769.303361885773,9154.405265171727,8725.78691288954,9174.89891936918,10460.490666675425,8017.057295411286
2023-09-01,7647.784398857386,9807.412014409874,7146.981949080289,7847.561000182737,7761.428805592869,9051.845557011013,7916.341530546774,8566.37011019924,8958.2337278811,6896.5009452807935
2023-10-01,8223.347989678532,6145.616400798668,7546.803857878117,8025.665674471243,8229.070273072433,8026.990978456272,8548.48287945897,7386.082705871383,7457.58506607551,8855.68339528197
2023-11-01,8401.43732257509,8504.693313370677,7727.262825796145,9352.615220793217,8760.52144830289,8765.616261965795,8770.091103886898,8193.528902278682,7479.162920253573,8389.643491452965
2023-12-01,10693.783156804724,12179.63071790024,14332.086783618537,12056.955675655616,11786.462680537601,12040.616931672828,14112.421997192767,11831.012625917268,12250.166570350159,10415.245605362154
2024-01-01,10286.229888278627,9622.454507368453,11412.363392224877,10930.531001723968,10346.908115757573,10077.596771994175,9623.169355505343,10078.140878839065,8943.813434383486,11240.921580418018
2024-02-01,11398.443668633532,12051.44620013786,11416.782945493327,11047.649842494484,11215.29146601579,11338.523428484012,11008.873394753387,10528.0626312256,12505.613017380767,11175.768738552706
2024-03-01,12511.570646721932,12095.738854205305,10884.073761807054,11015.196489621316,11613.827206207805,10839.14027343818,10267.414679802221,12005.353222576805,12745.657439244771,12819.64546538177
2024-04-01,12742.673736705812,11498.375622784488,12919.884711092946,12448.609566768246,12210.018912430043,13398.70543681733,10520.495870233315,12691.339549616307,11705.551487710803,12220.472847364925
2024-05-01,10542.994157816036,11472.07187152096,13590.505882885198,11959.651166918453,11029.617784183181,10688.902914825196,10851.126775998131,13146.659969405686,10431.59771939504,13524.806058036298
2024-06-01,10199.556015606846,11723.963921711707,11918.76978516548,10559.28989195178,10398.060120088516,9891.046917904296,10652.4757234978,11913.88711917814,12123.543904029615,12487.501705072982
2024-07-01,10412.028213766927,9415.706694626291,8784.50402723679,10055.841667992016,10272.511817776749,10926.488698800054,10248.726052478403,11722.545966009246,9908.368123797905,9800.82868121674
2024-08-01,9461.212713190822,8992.881149101613,8519.815164982436,8652.285728831775,9397.702380983415,9770.932347035867,10357.05152869236,8239.651491379587,9949.807044881485,9694.027729645066
2024-09-01,8766.90849686313,7992.142632994118,9120.747994074209,8290.410465741323,8722.62649726627,9005.579033616767,9260.245545561535,8712.111426206891,6922.3525302967655,8640.09304153741
2024-10-01,11182.553097445887,7118.148276787414,7248.269274055851,8450.777752259208,11725.951597991576,8777.880791142461,8225.582286294699,7853.732687970734,7439.607972242415,8928.447183789041
2024-11-01,8811.582756372823,9670.840432531328,8462.274617241892,9468.410042456606,10749.714440470738,8496.48576169751,8558.904880677768,9766.097263404487,8202.089617106805,7351.853513405208
2024-12-01,15754.178613618868,12110.780944967022,14020.102173329138,10967.453123855204,16261.994560429102,12377.609735787106,11921.684448624623,10543.450773386097,11973.097043830843,14877.649958749773
